strain	virus	assession	date	region	country
ExoN1mutant__FJ882954	Severe acute respiratory syndrome-related coronavirus	FJ882954	2008-08-06	north_america	USA
ExoN1mutant__FJ882955	Severe acute respiratory syndrome-related coronavirus	FJ882955	2008-03-28	north_america	USA
ExoN1mutant__FJ882956	Severe acute respiratory syndrome-related coronavirus	FJ882956	2008-08-06	north_america	USA
ExoN1mutant__FJ882960	Severe acute respiratory syndrome-related coronavirus	FJ882960	2008-08-06	north_america	USA
ExoN1mutant__JF292922	Severe acute respiratory syndrome-related coronavirus	JF292922	2009-03-18	north_america	USA
ExoN1mutant__JX162087	Severe acute respiratory syndrome-related coronavirus	JX162087	2009-01-01	north_america	USA
SARS/VeroE6_lab/USA/ExoN1_c13P1/2009__KF514406	Severe acute respiratory syndrome-related coronavirus	KF514406	2009-03-18	north_america	USA
SARS/VeroE6_lab/USA/ExoN1_c13P10/2009__KF514411	Severe acute respiratory syndrome-related coronavirus	KF514411	2009-05-19	north_america	USA
SARS/VeroE6_lab/USA/ExoN1_c13P20/2009__KF514412	Severe acute respiratory syndrome-related coronavirus	KF514412	2009-07-08	north_america	USA
SARS/VeroE6_lab/USA/ExoN1_c5.10P20/2010__KF514393	Severe acute respiratory syndrome-related coronavirus	KF514393	2010-10-01	north_america	USA
SARS/VeroE6_lab/USA/ExoN1_c5.1P20/2010__KF514403	Severe acute respiratory syndrome-related coronavirus	KF514403	2010-10-01	north_america	USA
SARS/VeroE6_lab/USA/ExoN1_c5.2P20/2010__KF514405	Severe acute respiratory syndrome-related coronavirus	KF514405	2010-10-01	north_america	USA
SARS/VeroE6_lab/USA/ExoN1_c5.3P20/2010__KF514417	Severe acute respiratory syndrome-related coronavirus	KF514417	2010-10-01	north_america	USA
SARS/VeroE6_lab/USA/ExoN1_c5.4P20/2010__KF514390	Severe acute respiratory syndrome-related coronavirus	KF514390	2010-10-01	north_america	USA
SARS/VeroE6_lab/USA/ExoN1_c5.5P20/2010__KF514401	Severe acute respiratory syndrome-related coronavirus	KF514401	2010-10-01	north_america	USA
SARS/VeroE6_lab/USA/ExoN1_c5.6P20/2010__KF514402	Severe acute respiratory syndrome-related coronavirus	KF514402	2010-10-01	north_america	USA
SARS/VeroE6_lab/USA/ExoN1_c5.7P20/2010__KF514407	Severe acute respiratory syndrome-related coronavirus	KF514407	2010-10-01	north_america	USA
SARS/VeroE6_lab/USA/ExoN1_c5.8P20/2010__KF514416	Severe acute respiratory syndrome-related coronavirus	KF514416	2010-10-01	north_america	USA
SARS/VeroE6_lab/USA/ExoN1_c5.9P20/2010__KF514391	Severe acute respiratory syndrome-related coronavirus	KF514391	2010-10-01	north_america	USA
SARS/VeroE6_lab/USA/ExoN1_c5P10/2009__KF514420	Severe acute respiratory syndrome-related coronavirus	KF514420	2009-05-19	north_america	USA
SARS/VeroE6_lab/USA/ExoN1_c5P20/2009__KF514414	Severe acute respiratory syndrome-related coronavirus	KF514414	2009-07-08	north_america	USA
SARS/VeroE6_lab/USA/ExoN1_c8P1/2009__KF514395	Severe acute respiratory syndrome-related coronavirus	KF514395	2009-03-18	north_america	USA
SARS/VeroE6_lab/USA/ExoN1_c8P10/2009__KF514389	Severe acute respiratory syndrome-related coronavirus	KF514389	2009-05-19	north_america	USA
SARS/VeroE6_lab/USA/ExoN1_c8P20/2009__KF514410	Severe acute respiratory syndrome-related coronavirus	KF514410	2009-07-08	north_america	USA
HKU-39849__GU553363	Severe acute respiratory syndrome-related coronavirus	GU553363	2003-06-07	china	China
HKU-39849__GU553364	Severe acute respiratory syndrome-related coronavirus	GU553364	2003-06-07	china	China
HKU-39849__GU553365	Severe acute respiratory syndrome-related coronavirus	GU553365	2007-12-05	north_america	USA
HKU-39849__JQ316196	Severe acute respiratory syndrome-related coronavirus	JQ316196	2003-04-16	europe	United_Kingdom
recSARS-CoVHKU-39849__JN854286	Severe acute respiratory syndrome-related coronavirus	JN854286	2003-04-16	europe	United_Kingdom
MA15__FJ882945	Severe acute respiratory syndrome-related coronavirus	FJ882945	2008-11-25	north_america	USA
MA15__FJ882948	Severe acute respiratory syndrome-related coronavirus	FJ882948	2008-11-25	north_america	USA
MA15__FJ882952	Severe acute respiratory syndrome-related coronavirus	FJ882952	2008-11-25	north_america	USA
MA15__FJ882957	Severe acute respiratory syndrome-related coronavirus	FJ882957	2008-11-25	north_america	USA
MA15__FJ882958	Severe acute respiratory syndrome-related coronavirus	FJ882958	2008-11-25	north_america	USA
MA15__FJ882961	Severe acute respiratory syndrome-related coronavirus	FJ882961	2008-11-25	north_america	USA
MA15__HQ890541	Severe acute respiratory syndrome-related coronavirus	HQ890541	2008-10-08	north_america	USA
MA15__HQ890542	Severe acute respiratory syndrome-related coronavirus	HQ890542	2008-09-17	north_america	USA
MA15__HQ890543	Severe acute respiratory syndrome-related coronavirus	HQ890543	2008-09-17	north_america	USA
MA15__HQ890544	Severe acute respiratory syndrome-related coronavirus	HQ890544	2008-09-17	north_america	USA
MA15__HQ890545	Severe acute respiratory syndrome-related coronavirus	HQ890545	2008-09-17	north_america	USA
MA15__HQ890546	Severe acute respiratory syndrome-related coronavirus	HQ890546	2008-09-17	north_america	USA
MA15__JF292907	Severe acute respiratory syndrome-related coronavirus	JF292907	2008-08-10	north_america	USA
MA15__JF292908	Severe acute respiratory syndrome-related coronavirus	JF292908	2008-08-10	north_america	USA
MA15__JF292909	Severe acute respiratory syndrome-related coronavirus	JF292909	2008-08-10	north_america	USA
MA15__JF292910	Severe acute respiratory syndrome-related coronavirus	JF292910	2008-08-10	north_america	USA
MA15__JF292911	Severe acute respiratory syndrome-related coronavirus	JF292911	2008-10-10	north_america	USA
MA15__JF292912	Severe acute respiratory syndrome-related coronavirus	JF292912	2008-10-10	north_america	USA
