strain	virus	assention	date	region	country
Abu_Dhabi_UAE_8_2014	mers	KP209306	2014-04-07	west_asia	united_arab_emirates
Jordan/camel/25/2016	mers	KX443667	2016-05-19	west_asia	jordan
Madinah_1c_2013	mers	KJ156917	2013-09-01	west_asia	saudi_arabia
Hu/Riyadh-KSA-007D1N/2015	mers	MG757597	2015-08-24	west_asia	saudi_arabia
Hu-France_-_FRA2_130569-2013_InSpu_Sanger	mers	KJ361502	2013-05-07	europe	france
Al-Hasa_10a_2013	mers	KF600653	2013-05-02	west_asia	saudi_arabia
Hu/Riyadh-KSA-2466/2015	mers	KR011265	2015-01-26	west_asia	saudi_arabia
82772-Kerman	mers	KM044032	2014-05-17	west_asia	iran
Al-Hasa_28c_2013	mers	KJ156889	2013-06-22	west_asia	saudi_arabia
KSA_464	mers	KJ396765	2013-11-XX	west_asia	saudi_arabia
Hu/UAE_X_2014	mers	KY581694	2014-XX-XX	west_asia	united_arab_emirates
MERS-CoV/camel/Egypt/NRCE-NC2093/2015	mers	KU942372	2015-11-11	africa	egypt
Riyadh_2014KSA_349/KSA/2014	mers	KM027285	2014-XX-XX	west_asia	saudi_arabia
Hu/Riyadh-KSA-7413/2017	mers	MG366483	2017-06-02	west_asia	saudi_arabia
camel/UAE_B35_2015	mers	MF598627	2015-03-XX	west_asia	united_arab_emirates
Hu/UAE_032_2014	mers	KY581693	2014-04-20	west_asia	united_arab_emirates
camel/Riyadh/Ry137/2015	mers	KT368869	2015-03-XX	west_asia	saudi_arabia
Abu_Dhabi_UAE_26_2014	mers	KP209313	2014-04-13	west_asia	united_arab_emirates
ChinaGD01_variant_2	mers	KT036374	2015-05-28	china	china
Al-Hasa_9b_2013	mers	KF600654	2013-05-01	west_asia	saudi_arabia
MERS-CoV/camel/Egypt/NRCE-NC808/2015	mers	KU942367	2015-04-01	africa	egypt
Jordan_1_2015	mers	KU233365	2015-XX-XX	west_asia	jordan
Hafr-Al-Batin_5c_2013	mers	KJ156954	2013-08-25	west_asia	saudi_arabia
Hu/UAE_004_2013	mers	KY581685	2013-07-12	west_asia	united_arab_emirates
Riyadh_12b_2013	mers	KJ156901	2013-08-08	west_asia	saudi_arabia
Hafr-Al-Batin_1_2013	mers	KF600628	2013-06-04	west_asia	saudi_arabia
KNIH/002_05_2015	mers	MK796425	2015-05-20	japan_korea	south_korea
Al-Hasa_26a_2013	mers	KJ156882	2013-06-18	west_asia	saudi_arabia
Hu/Riyadh-KSA-3562/2015	mers	KT805977	2015-02-23	west_asia	saudi_arabia
camel/UAE_B23_2015	mers	MF598615	2015-03-XX	west_asia	united_arab_emirates
camel/Jeddah/Jd85/2015	mers	KT368862	2015-01-XX	west_asia	saudi_arabia
Al-Hasa_28e_2013	mers	KJ156884	2013-06-22	west_asia	saudi_arabia
camel/UAE_B36_2015	mers	MF598628	2015-03-XX	west_asia	united_arab_emirates
camel/Jeddah/Jd6(b)/2015	mers	KT368860	2015-01-XX	west_asia	saudi_arabia
Riyadh_17c_2013	mers	KJ156865	2013-08-26	west_asia	saudi_arabia
Jordan/camel/40/2016	mers	KX443676	2016-05-19	west_asia	jordan
Asir_1a_2013	mers	KJ156948	2013-07-02	west_asia	saudi_arabia
Hu/Taif,KSA-1486/2014	mers	KR912189	2014-11-11	west_asia	saudi_arabia
KSA_364	mers	KJ396769	2013-11-XX	west_asia	saudi_arabia
NL140422	mers	MG021452	2014-05-08	china	china
MERS_CoV/camel/Egypt/NRCE-NC163/2014	mers	KU740200	2014-12-17	africa	egypt
Hu/Riyadh-KSA-2264/2015	mers	KT805961	2015-01-14	west_asia	saudi_arabia
KSA_363	mers	KJ396756	2013-11-XX	west_asia	saudi_arabia
Jordan_9_2015	mers	KU233373	2015-XX-XX	west_asia	jordan
camel/Taif/T92/2015	mers	KT368887	2015-04-XX	west_asia	saudi_arabia
Hu/UAE_011_2014	mers	KY581688	2014-04-10	west_asia	united_arab_emirates
Egypt-NC2889/2016	mers	KX425841	2016-XX-XX	africa	egypt
camel/Riyadh/Ry79/2015	mers	KT368878	2015-03-XX	west_asia	saudi_arabia
NRCE-HKU270	mers	KJ477103	2013-XX-XX	africa	egypt
